activity_id,employee_id,start_date,sport_type,distance_m,end_date,comment
37,89328,2025-07-05 01:47:18,Tennis de table,,2025-07-05 02:45:18,Objectif atteint !
38,89328,2025-07-17 08:06:18,Tennis de table,,2025-07-17 08:38:18,Objectif atteint !
39,89328,2025-07-17 20:31:18,Tennis de table,,2025-07-17 20:55:18,Objectif atteint !
40,89328,2025-07-29 04:10:18,Tennis de table,,2025-07-29 04:35:18,
41,89328,2025-08-06 06:23:18,Tennis de table,,2025-08-06 07:08:18,Séance de récupération
42,89328,2025-08-11 06:24:18,Tennis de table,,2025-08-11 07:22:18,Séance de récupération
43,89328,2025-08-14 01:03:18,Tennis de table,,2025-08-14 01:43:18,Objectif atteint !
44,89328,2025-09-03 19:01:18,Tennis de table,,2025-09-03 19:28:18,Séance de récupération
45,89328,2025-09-20 07:42:18,Tennis de table,,2025-09-20 08:04:18,Reprise du sport :)
46,89328,2025-09-22 23:08:18,Tennis de table,,2025-09-22 23:49:18,
47,89328,2025-09-26 06:08:18,Tennis de table,,2025-09-26 06:51:18,
48,89328,2025-09-29 19:15:18,Tennis de table,,2025-09-29 20:10:18,Nouveau record personnel !
49,89328,2025-10-13 07:33:18,Tennis de table,,2025-10-13 08:01:18,Belle séance !
50,89328,2025-10-29 00:03:18,Tennis de table,,2025-10-29 00:47:18,Objectif atteint !
51,89328,2025-11-02 05:18:18,Tennis de table,,2025-11-02 05:52:18,Nouveau record personnel !
52,89328,2025-11-08 08:50:18,Tennis de table,,2025-11-08 09:13:18,Reprise du sport :)
53,89328,2025-11-09 03:05:18,Tennis de table,,2025-11-09 03:56:18,Super conditions aujourd'hui
54,89328,2025-11-10 07:20:18,Tennis de table,,2025-11-10 07:53:18,Objectif atteint !
55,89328,2025-11-11 20:25:18,Tennis de table,,2025-11-11 21:06:18,Super conditions aujourd'hui
56,89328,2025-11-17 23:12:18,Tennis de table,,2025-11-17 23:55:18,Objectif atteint !
57,89328,2025-11-19 00:14:18,Tennis de table,,2025-11-19 00:57:18,Séance de récupération
58,89328,2025-11-20 07:47:18,Tennis de table,,2025-11-20 08:21:18,Fatigant mais satisfaisant
59,89328,2025-11-21 05:54:18,Tennis de table,,2025-11-21 06:27:18,Bonne sortie
60,89328,2025-11-23 23:25:18,Tennis de table,,2025-11-23 23:48:18,
61,89328,2025-11-26 04:44:18,Tennis de table,,2025-11-26 05:41:18,
62,89328,2025-12-14 06:42:18,Tennis de table,,2025-12-14 07:28:18,Séance de récupération
63,89328,2025-12-20 08:56:18,Tennis de table,,2025-12-20 09:20:18,
64,89328,2025-12-21 08:28:18,Tennis de table,,2025-12-21 09:00:18,Reprise du sport :)
65,89328,2025-12-31 19:55:18,Tennis de table,,2025-12-31 20:15:18,
66,89328,2026-01-12 23:04:18,Tennis de table,,2026-01-12 23:33:18,Reprise du sport :)
67,89328,2026-01-13 21:33:18,Tennis de table,,2026-01-13 22:15:18,Reprise du sport :)
68,89328,2026-01-18 02:34:18,Tennis de table,,2026-01-18 03:30:18,Nouveau record personnel !
69,89328,2026-01-22 00:56:18,Tennis de table,,2026-01-22 01:20:18,Fatigant mais satisfaisant
70,89328,2026-01-25 22:16:18,Tennis de table,,2026-01-25 23:16:18,Fatigant mais satisfaisant
71,89328,2026-01-29 01:13:18,Tennis de table,,2026-01-29 01:54:18,Bonne sortie
72,89328,2026-01-29 04:27:18,Tennis de table,,2026-01-29 05:06:18,
73,89328,2026-02-01 01:01:18,Tennis de table,,2026-02-01 01:22:18,Objectif atteint !
74,89328,2026-02-13 21:45:18,Tennis de table,,2026-02-13 22:33:18,
75,89328,2026-02-18 07:36:18,Tennis de table,,2026-02-18 08:30:18,Super conditions aujourd'hui
76,89328,2026-02-26 20:20:18,Tennis de table,,2026-02-26 21:12:18,Belle séance !
77,89328,2026-03-02 21:33:18,Tennis de table,,2026-03-02 22:08:18,Fatigant mais satisfaisant
78,89328,2026-03-05 18:00:18,Tennis de table,,2026-03-05 18:34:18,Reprise du sport :)
79,89328,2026-03-07 05:38:18,Tennis de table,,2026-03-07 06:24:18,Séance de récupération
80,89328,2026-03-14 05:49:18,Tennis de table,,2026-03-14 06:30:18,
81,89328,2026-04-17 07:54:18,Tennis de table,,2026-04-17 08:23:18,Objectif atteint !
82,89328,2026-04-25 07:37:18,Tennis de table,,2026-04-25 08:03:18,Nouveau record personnel !
83,89328,2026-05-02 03:56:18,Tennis de table,,2026-05-02 04:22:18,
84,89328,2026-05-04 04:01:18,Tennis de table,,2026-05-04 04:24:18,
85,70575,2025-05-11 05:27:18,Randonnée,5634,2025-05-11 08:20:18,Bonne sortie
86,70575,2025-05-26 05:52:18,Randonnée,5513,2025-05-26 08:06:18,Bonne sortie
87,70575,2025-05-26 08:45:18,Randonnée,8110,2025-05-26 10:48:18,Super conditions aujourd'hui
88,70575,2025-06-03 19:35:18,Randonnée,11602,2025-06-03 22:22:18,
89,70575,2025-06-06 06:07:18,Randonnée,5327,2025-06-06 08:38:18,Objectif atteint !
90,70575,2025-06-12 03:33:18,Randonnée,3947,2025-06-12 05:02:18,Reprise du sport :)
91,70575,2025-06-14 20:05:18,Randonnée,8480,2025-06-14 22:12:18,Belle séance !
92,70575,2025-06-16 07:11:18,Randonnée,2802,2025-06-16 08:24:18,Belle séance !
93,70575,2025-06-17 19:44:18,Randonnée,2415,2025-06-17 20:46:18,
94,70575,2025-06-23 00:36:18,Randonnée,3416,2025-06-23 01:42:18,Objectif atteint !
95,70575,2025-07-10 06:40:18,Randonnée,7734,2025-07-10 09:10:18,Reprise du sport :)
96,70575,2025-07-10 23:59:18,Randonnée,3989,2025-07-11 01:09:18,
97,70575,2025-07-15 21:53:18,Randonnée,5053,2025-07-15 23:09:18,
98,70575,2025-07-17 01:04:18,Randonnée,5246,2025-07-17 02:08:18,Bonne sortie
99,70575,2025-07-20 06:49:18,Randonnée,7674,2025-07-20 08:48:18,Séance de récupération
100,70575,2025-08-01 02:04:18,Randonnée,8513,2025-08-01 03:55:18,Bonne sortie
101,70575,2025-08-12 04:44:18,Randonnée,6317,2025-08-12 06:06:18,Séance de récupération
102,70575,2025-08-13 07:35:18,Randonnée,10174,2025-08-13 10:34:18,Belle séance !
103,70575,2025-08-14 07:45:18,Randonnée,6303,2025-08-14 09:31:18,Séance de récupération
104,70575,2025-08-18 06:11:18,Randonnée,12502,2025-08-18 08:58:18,
105,70575,2025-08-20 06:14:18,Randonnée,5107,2025-08-20 08:12:18,
106,70575,2025-08-21 21:55:18,Randonnée,8355,2025-08-22 00:35:18,Bonne sortie
107,70575,2025-08-23 23:21:18,Randonnée,4736,2025-08-24 01:44:18,Séance de récupération
108,70575,2025-08-25 05:15:18,Randonnée,11377,2025-08-25 07:47:18,
109,70575,2025-08-29 21:48:18,Randonnée,4255,2025-08-29 23:38:18,Belle séance !
110,70575,2025-09-03 02:09:18,Randonnée,6643,2025-09-03 03:53:18,Bonne sortie
111,70575,2025-09-04 05:15:18,Randonnée,5926,2025-09-04 06:35:18,Reprise du sport :)
112,70575,2025-09-05 00:17:18,Randonnée,8094,2025-09-05 02:02:18,
113,70575,2025-09-10 02:12:18,Randonnée,7863,2025-09-10 04:18:18,
114,70575,2025-09-22 18:17:18,Randonnée,5543,2025-09-22 20:58:18,Reprise du sport :)
115,70575,2025-09-24 22:12:18,Randonnée,10455,2025-09-25 00:30:18,
116,70575,2025-09-25 08:55:18,Randonnée,12073,2025-09-25 11:54:18,
117,70575,2025-09-26 00:37:18,Randonnée,6245,2025-09-26 02:02:18,
118,70575,2025-10-04 02:50:18,Randonnée,4486,2025-10-04 04:21:18,Super conditions aujourd'hui
119,70575,2025-10-09 01:19:18,Randonnée,12228,2025-10-09 03:44:18,Super conditions aujourd'hui
120,70575,2025-10-11 06:14:18,Randonnée,3831,2025-10-11 07:34:18,Objectif atteint !
121,70575,2025-10-16 22:49:18,Randonnée,8094,2025-10-17 00:34:18,Séance de récupération
122,70575,2025-10-20 02:10:18,Randonnée,5135,2025-10-20 03:25:18,
123,70575,2025-11-03 03:39:18,Randonnée,11966,2025-11-03 06:21:18,Fatigant mais satisfaisant
124,70575,2025-11-03 06:45:18,Randonnée,11090,2025-11-03 09:21:18,Fatigant mais satisfaisant
125,70575,2025-11-06 19:36:18,Randonnée,6708,2025-11-06 21:23:18,
126,70575,2025-11-15 00:26:18,Randonnée,5425,2025-11-15 03:10:18,
127,70575,2025-11-24 18:13:18,Randonnée,7750,2025-11-24 21:06:18,
128,70575,2025-12-05 08:13:18,Randonnée,5303,2025-12-05 09:28:18,Belle séance !
129,70575,2025-12-08 18:13:18,Randonnée,7445,2025-12-08 19:56:18,
130,70575,2025-12-10 23:24:18,Randonnée,6061,2025-12-11 02:17:18,Objectif atteint !
131,70575,2025-12-14 04:17:18,Randonnée,8042,2025-12-14 07:09:18,
132,70575,2025-12-23 20:58:18,Randonnée,4369,2025-12-23 23:22:18,Bonne sortie
133,70575,2025-12-24 21:13:18,Randonnée,13765,2025-12-24 23:58:18,Super conditions aujourd'hui
134,70575,2026-01-10 19:27:18,Randonnée,3775,2026-01-10 20:35:18,Fatigant mais satisfaisant
135,70575,2026-01-15 04:57:18,Randonnée,10187,2026-01-15 07:43:18,Reprise du sport :)
136,70575,2026-01-25 05:35:18,Randonnée,6119,2026-01-25 07:47:18,Reprise du sport :)
137,70575,2026-02-05 04:11:18,Randonnée,3722,2026-02-05 05:39:18,
138,70575,2026-02-15 18:16:18,Randonnée,4775,2026-02-15 19:55:18,Reprise du sport :)
139,70575,2026-02-18 21:57:18,Randonnée,2911,2026-02-18 23:14:18,Objectif atteint !
140,70575,2026-02-18 22:22:18,Randonnée,4642,2026-02-19 00:28:18,Objectif atteint !
141,70575,2026-02-19 01:39:18,Randonnée,14882,2026-02-19 04:39:18,Reprise du sport :)
142,70575,2026-03-03 22:33:18,Randonnée,4725,2026-03-03 23:43:18,
143,70575,2026-03-05 01:28:18,Randonnée,7114,2026-03-05 03:49:18,Nouveau record personnel !
144,70575,2026-03-08 05:18:18,Randonnée,7801,2026-03-08 08:03:18,
145,70575,2026-03-17 08:49:18,Randonnée,3379,2026-03-17 09:55:18,
146,70575,2026-03-21 06:51:18,Randonnée,8189,2026-03-21 09:11:18,Objectif atteint !
147,70575,2026-03-22 06:22:18,Randonnée,4739,2026-03-22 07:47:18,Bonne sortie
148,70575,2026-03-24 23:04:18,Randonnée,5921,2026-03-25 01:07:18,
149,70575,2026-03-26 22:54:18,Randonnée,5744,2026-03-27 00:46:18,Séance de récupération
150,70575,2026-04-03 19:56:18,Randonnée,6137,2026-04-03 22:14:18,Reprise du sport :)
151,70575,2026-04-07 07:42:18,Randonnée,13689,2026-04-07 10:29:18,
152,70575,2026-04-19 06:24:18,Randonnée,3683,2026-04-19 07:55:18,Fatigant mais satisfaisant
153,70575,2026-05-01 02:58:18,Randonnée,11585,2026-05-01 05:27:18,
154,70575,2026-05-07 22:16:18,Randonnée,4759,2026-05-08 00:54:18,Objectif atteint !
155,70575,2026-05-08 21:08:18,Randonnée,3887,2026-05-08 22:47:18,Objectif atteint !
156,69938,2025-05-13 02:17:18,Randonnée,3836,2025-05-13 03:21:18,Nouveau record personnel !
157,69938,2025-05-16 03:06:18,Randonnée,4982,2025-05-16 04:55:18,Nouveau record personnel !
158,69938,2025-05-16 05:06:18,Randonnée,5102,2025-05-16 06:10:18,Super conditions aujourd'hui
159,69938,2025-05-21 02:16:18,Randonnée,4642,2025-05-21 03:54:18,Fatigant mais satisfaisant
160,69938,2025-05-24 06:03:18,Randonnée,10271,2025-05-24 08:14:18,Séance de récupération
161,69938,2025-05-28 01:46:18,Randonnée,5941,2025-05-28 03:17:18,Nouveau record personnel !
162,69938,2025-06-01 21:26:18,Randonnée,4158,2025-06-01 23:25:18,Nouveau record personnel !
163,69938,2025-06-19 18:10:18,Randonnée,9311,2025-06-19 20:01:18,Reprise du sport :)
164,69938,2025-06-27 18:15:18,Randonnée,12688,2025-06-27 20:51:18,
165,69938,2025-07-01 02:51:18,Randonnée,3665,2025-07-01 04:11:18,Bonne sortie
166,69938,2025-07-03 23:37:18,Randonnée,8554,2025-07-04 01:46:18,Nouveau record personnel !
167,69938,2025-07-04 20:05:18,Randonnée,2760,2025-07-04 21:24:18,Fatigant mais satisfaisant
168,69938,2025-07-11 05:26:18,Randonnée,9566,2025-07-11 07:59:18,
169,69938,2025-07-11 18:05:18,Randonnée,7804,2025-07-11 19:48:18,Séance de récupération
170,69938,2025-07-13 00:45:18,Randonnée,10012,2025-07-13 03:22:18,Super conditions aujourd'hui
171,69938,2025-07-17 05:03:18,Randonnée,3522,2025-07-17 06:36:18,Reprise du sport :)
172,69938,2025-07-21 02:03:18,Randonnée,6760,2025-07-21 04:29:18,Nouveau record personnel !
173,69938,2025-07-21 21:44:18,Randonnée,7866,2025-07-21 23:40:18,Nouveau record personnel !
174,69938,2025-07-22 06:48:18,Randonnée,6361,2025-07-22 09:12:18,Objectif atteint !
175,69938,2025-07-26 05:25:18,Randonnée,2659,2025-07-26 06:39:18,
176,69938,2025-07-27 23:00:18,Randonnée,5603,2025-07-28 00:47:18,Fatigant mais satisfaisant
177,69938,2025-08-03 23:24:18,Randonnée,6644,2025-08-04 01:38:18,
178,69938,2025-08-13 01:38:18,Randonnée,5290,2025-08-13 03:24:18,Nouveau record personnel !
179,69938,2025-08-20 22:44:18,Randonnée,4877,2025-08-21 00:59:18,Objectif atteint !
180,69938,2025-09-07 01:42:18,Randonnée,5586,2025-09-07 04:37:18,
181,69938,2025-09-07 06:58:18,Randonnée,6738,2025-09-07 08:42:18,Belle séance !
182,69938,2025-09-09 19:59:18,Randonnée,6362,2025-09-09 21:31:18,Nouveau record personnel !
183,69938,2025-09-20 22:40:18,Randonnée,6211,2025-09-21 01:21:18,Fatigant mais satisfaisant
184,69938,2025-09-21 04:56:18,Randonnée,3735,2025-09-21 05:59:18,Objectif atteint !
185,69938,2025-09-21 20:43:18,Randonnée,11050,2025-09-21 23:02:18,Belle séance !
186,69938,2025-10-02 03:40:18,Randonnée,9228,2025-10-02 06:29:18,Séance de récupération
187,69938,2025-10-05 02:07:18,Randonnée,10823,2025-10-05 04:26:18,Fatigant mais satisfaisant
188,69938,2025-10-09 01:06:18,Randonnée,11553,2025-10-09 03:31:18,
189,69938,2025-10-15 06:43:18,Randonnée,12851,2025-10-15 09:28:18,Reprise du sport :)
190,69938,2025-10-19 06:37:18,Randonnée,7716,2025-10-19 09:05:18,
191,69938,2025-10-20 05:02:18,Randonnée,9910,2025-10-20 07:46:18,
192,69938,2025-10-22 04:28:18,Randonnée,9053,2025-10-22 07:01:18,Reprise du sport :)
193,69938,2025-10-25 04:19:18,Randonnée,5531,2025-10-25 06:32:18,Séance de récupération
194,69938,2025-10-31 22:40:18,Randonnée,6363,2025-11-01 00:05:18,Fatigant mais satisfaisant
195,69938,2025-11-03 19:12:18,Randonnée,8844,2025-11-03 21:02:18,Reprise du sport :)
196,69938,2025-11-06 06:05:18,Randonnée,3076,2025-11-06 07:31:18,
197,69938,2025-11-13 06:43:18,Randonnée,4350,2025-11-13 08:05:18,Séance de récupération
198,69938,2025-12-06 05:30:18,Randonnée,5274,2025-12-06 07:26:18,Fatigant mais satisfaisant
199,69938,2025-12-10 21:15:18,Randonnée,3979,2025-12-10 22:42:18,Séance de récupération
200,69938,2025-12-15 03:07:18,Randonnée,9218,2025-12-15 05:01:18,Reprise du sport :)
201,69938,2025-12-15 20:27:18,Randonnée,3552,2025-12-15 22:17:18,Séance de récupération
202,69938,2025-12-18 05:26:18,Randonnée,4770,2025-12-18 07:17:18,Objectif atteint !
203,69938,2025-12-18 06:12:18,Randonnée,4897,2025-12-18 07:20:18,
204,69938,2025-12-18 23:13:18,Randonnée,8806,2025-12-19 02:06:18,Fatigant mais satisfaisant
205,69938,2025-12-28 19:31:18,Randonnée,7027,2025-12-28 21:09:18,Bonne sortie
206,69938,2026-01-07 04:49:18,Randonnée,6534,2026-01-07 07:23:18,
207,69938,2026-01-08 21:46:18,Randonnée,2577,2026-01-08 23:03:18,Nouveau record personnel !
208,69938,2026-01-09 19:32:18,Randonnée,4488,2026-01-09 20:38:18,Bonne sortie
209,69938,2026-01-19 06:44:18,Randonnée,5131,2026-01-19 07:48:18,
210,69938,2026-01-27 19:35:18,Randonnée,3324,2026-01-27 21:24:18,Belle séance !
211,69938,2026-01-28 05:40:18,Randonnée,10496,2026-01-28 07:54:18,
212,69938,2026-01-31 07:49:18,Randonnée,1984,2026-01-31 08:52:18,Super conditions aujourd'hui
213,69938,2026-02-05 20:54:18,Randonnée,5900,2026-02-05 22:59:18,Bonne sortie
214,69938,2026-02-12 08:46:18,Randonnée,8165,2026-02-12 11:46:18,Super conditions aujourd'hui
215,69938,2026-02-16 07:02:18,Randonnée,4658,2026-02-16 08:43:18,Fatigant mais satisfaisant
216,69938,2026-02-22 04:30:18,Randonnée,6477,2026-02-22 06:23:18,Super conditions aujourd'hui
217,69938,2026-03-01 00:37:18,Randonnée,5740,2026-03-01 02:14:18,Belle séance !
218,69938,2026-03-04 19:55:18,Randonnée,8012,2026-03-04 22:45:18,
219,69938,2026-03-07 22:07:18,Randonnée,7093,2026-03-07 23:39:18,
220,69938,2026-03-17 00:12:18,Randonnée,3754,2026-03-17 01:36:18,
221,69938,2026-03-17 02:11:18,Randonnée,4408,2026-03-17 03:14:18,
222,69938,2026-03-23 18:52:18,Randonnée,5079,2026-03-23 19:58:18,Objectif atteint !
223,69938,2026-03-25 01:14:18,Randonnée,3385,2026-03-25 02:36:18,Reprise du sport :)
224,69938,2026-03-26 22:28:18,Randonnée,4549,2026-03-27 00:31:18,
225,69938,2026-05-02 08:52:18,Randonnée,7919,2026-05-02 10:58:18,
226,69938,2026-05-07 05:36:18,Randonnée,3903,2026-05-07 06:45:18,
227,69938,2026-05-07 05:53:18,Randonnée,14685,2026-05-07 08:47:18,Super conditions aujourd'hui
228,59040,2025-05-13 07:33:18,Judo,,2025-05-13 08:15:18,Reprise du sport :)
229,59040,2025-05-16 02:29:18,Judo,,2025-05-16 03:58:18,Reprise du sport :)
230,59040,2025-05-22 02:12:18,Judo,,2025-05-22 03:24:18,Bonne sortie
231,59040,2025-06-06 20:11:18,Judo,,2025-06-06 20:41:18,
232,59040,2025-06-14 23:04:18,Judo,,2025-06-14 23:41:18,
233,59040,2025-06-23 05:08:18,Judo,,2025-06-23 06:29:18,Belle séance !
234,59040,2025-06-25 02:36:18,Judo,,2025-06-25 03:56:18,Nouveau record personnel !
235,59040,2025-06-29 01:32:18,Judo,,2025-06-29 02:59:18,Bonne sortie
236,59040,2025-07-08 03:25:18,Judo,,2025-07-08 04:51:18,Belle séance !
237,59040,2025-07-30 07:02:18,Judo,,2025-07-30 07:47:18,Belle séance !
238,59040,2025-07-31 02:02:18,Judo,,2025-07-31 03:01:18,
239,59040,2025-09-07 19:46:18,Judo,,2025-09-07 20:21:18,Objectif atteint !
240,59040,2025-09-22 21:46:18,Judo,,2025-09-22 22:35:18,
241,59040,2025-09-26 21:12:18,Judo,,2025-09-26 21:58:18,Reprise du sport :)
242,59040,2025-10-17 03:22:18,Judo,,2025-10-17 04:27:18,Nouveau record personnel !
243,59040,2025-10-17 21:35:18,Judo,,2025-10-17 22:39:18,Super conditions aujourd'hui
244,59040,2025-10-18 04:14:18,Judo,,2025-10-18 04:47:18,Objectif atteint !
245,59040,2025-11-21 18:38:18,Judo,,2025-11-21 19:58:18,
246,59040,2025-12-20 01:03:18,Judo,,2025-12-20 01:36:18,Super conditions aujourd'hui
247,59040,2026-01-19 20:52:18,Judo,,2026-01-19 22:06:18,Bonne sortie
248,59040,2026-01-28 18:06:18,Judo,,2026-01-28 18:53:18,Nouveau record personnel !
249,59040,2026-02-05 02:27:18,Judo,,2026-02-05 03:13:18,
250,59040,2026-02-09 00:34:18,Judo,,2026-02-09 01:23:18,Objectif atteint !
251,59040,2026-02-17 00:52:18,Judo,,2026-02-17 02:02:18,Super conditions aujourd'hui
252,59040,2026-03-05 23:46:18,Judo,,2026-03-06 00:55:18,
253,59040,2026-03-28 20:14:18,Judo,,2026-03-28 20:44:18,
254,59040,2026-04-08 03:13:18,Judo,,2026-04-08 03:59:18,Nouveau record personnel !
255,59040,2026-04-08 18:16:18,Judo,,2026-04-08 19:12:18,
256,59040,2026-04-10 23:10:18,Judo,,2026-04-11 00:38:18,Super conditions aujourd'hui
257,59040,2026-04-13 19:08:18,Judo,,2026-04-13 20:20:18,Belle séance !
258,59040,2026-04-19 06:54:18,Judo,,2026-04-19 08:16:18,Séance de récupération
259,59040,2026-04-22 03:45:18,Judo,,2026-04-22 05:01:18,Reprise du sport :)
260,45221,2025-06-11 23:22:18,Randonnée,2435,2025-06-12 00:37:18,Fatigant mais satisfaisant
261,45221,2025-06-17 19:30:18,Randonnée,6302,2025-06-17 21:18:18,
262,45221,2025-06-19 03:55:18,Randonnée,5962,2025-06-19 05:49:18,Séance de récupération
263,45221,2025-06-20 00:20:18,Randonnée,2716,2025-06-20 01:27:18,Fatigant mais satisfaisant
264,45221,2025-06-26 04:14:18,Randonnée,4129,2025-06-26 06:29:18,Séance de récupération
265,45221,2025-06-30 20:54:18,Randonnée,5065,2025-06-30 22:22:18,Nouveau record personnel !
266,45221,2025-07-05 04:10:18,Randonnée,9860,2025-07-05 06:59:18,Séance de récupération
267,45221,2025-07-05 21:40:18,Randonnée,3104,2025-07-05 23:11:18,Bonne sortie
268,45221,2025-07-08 05:13:18,Randonnée,4638,2025-07-08 07:13:18,Bonne sortie
269,45221,2025-07-09 20:51:18,Randonnée,7570,2025-07-09 22:28:18,
270,45221,2025-08-28 07:48:18,Randonnée,5039,2025-08-28 10:08:18,Objectif atteint !
271,45221,2025-08-29 21:22:18,Randonnée,12299,2025-08-30 00:13:18,Objectif atteint !
272,45221,2025-09-11 07:35:18,Randonnée,9257,2025-09-11 10:06:18,Fatigant mais satisfaisant
273,45221,2025-09-25 03:32:18,Randonnée,7961,2025-09-25 06:03:18,Bonne sortie
274,45221,2025-09-27 03:48:18,Randonnée,2842,2025-09-27 05:07:18,Séance de récupération
275,45221,2025-10-03 00:54:18,Randonnée,7521,2025-10-03 03:15:18,
276,45221,2025-10-06 07:15:18,Randonnée,4344,2025-10-06 08:30:18,Belle séance !
277,45221,2025-10-21 01:08:18,Randonnée,8111,2025-10-21 02:56:18,Objectif atteint !
278,45221,2025-10-30 19:09:18,Randonnée,8251,2025-10-30 21:31:18,Reprise du sport :)
279,45221,2025-11-04 20:07:18,Randonnée,3872,2025-11-04 21:19:18,Objectif atteint !
280,45221,2025-12-14 21:30:18,Randonnée,8711,2025-12-14 23:33:18,Reprise du sport :)
281,45221,2026-01-03 00:52:18,Randonnée,5534,2026-01-03 02:35:18,
282,45221,2026-01-03 03:24:18,Randonnée,2294,2026-01-03 04:38:18,Super conditions aujourd'hui
283,45221,2026-01-09 05:03:18,Randonnée,3457,2026-01-09 06:38:18,Belle séance !
284,45221,2026-01-11 23:54:18,Randonnée,11085,2026-01-12 02:22:18,Objectif atteint !
285,45221,2026-02-16 19:37:18,Randonnée,5405,2026-02-16 22:01:18,
286,45221,2026-02-26 04:06:18,Randonnée,2830,2026-02-26 05:22:18,Nouveau record personnel !
287,45221,2026-02-27 18:29:18,Randonnée,13518,2026-02-27 21:23:18,
288,45221,2026-03-01 06:21:18,Randonnée,5329,2026-03-01 08:52:18,Belle séance !
289,45221,2026-03-09 20:35:18,Randonnée,11077,2026-03-09 23:21:18,
290,45221,2026-03-12 08:57:18,Randonnée,5913,2026-03-12 11:38:18,Fatigant mais satisfaisant
291,45221,2026-03-16 20:26:18,Randonnée,12378,2026-03-16 23:12:18,Séance de récupération
292,45221,2026-04-07 02:10:18,Randonnée,8641,2026-04-07 04:45:18,Séance de récupération
293,45221,2026-05-05 08:05:18,Randonnée,6590,2026-05-05 11:05:18,Fatigant mais satisfaisant
294,45221,2026-05-07 18:16:18,Randonnée,5300,2026-05-07 19:54:18,Super conditions aujourd'hui
295,41293,2025-06-10 06:15:18,Randonnée,8041,2025-06-10 09:13:18,
296,41293,2025-06-18 18:20:18,Randonnée,9601,2025-06-18 20:53:18,Bonne sortie
297,41293,2025-07-06 05:41:18,Randonnée,2788,2025-07-06 06:50:18,Objectif atteint !
298,41293,2025-07-13 00:00:18,Randonnée,2444,2025-07-13 01:04:18,Objectif atteint !
299,41293,2025-07-31 02:10:18,Randonnée,8041,2025-07-31 03:56:18,Super conditions aujourd'hui
